#,startOfYear,lastUpdate,dateDiff
1,1980-01-01,2024-06-28,44
2,1981-01-01,2024-06-28,43
3,1982-01-01,2024-06-28,42
4,1983-01-01,2024-06-28,41
5,1984-01-01,2024-06-28,40
6,1985-01-01,2024-06-28,39
7,1986-01-01,2024-06-28,38
8,1987-01-01,2024-06-28,37
9,1988-01-01,2024-06-28,36
10,1989-01-01,2024-06-28,35
11,1990-01-01,2024-06-28,34
12,1991-01-01,2024-06-28,33
13,1995-01-01,2024-06-28,29
14,1997-01-01,2024-06-28,27
15,1998-01-01,2024-06-28,26
16,1999-01-01,2024-06-28,25
17,2000-01-01,2024-06-28,24
18,2001-01-01,2024-06-28,23
19,2002-01-01,2024-06-28,22
20,2003-01-01,2024-06-28,21
21,2004-01-01,2024-06-28,20
22,2005-01-01,2024-06-28,19
23,2006-01-01,2024-06-28,18
24,2007-01-01,2024-06-28,17
25,2008-01-01,2024-06-28,16
26,2009-01-01,2024-06-28,15
27,2010-01-01,2024-06-28,14
28,2011-01-01,2024-06-28,13
29,2012-01-01,2024-06-28,12
30,2013-01-01,2024-06-28,11
31,2014-01-01,2024-06-28,10
32,2015-01-01,2024-06-28,9
33,2016-01-01,2024-06-28,8
34,2017-01-01,2024-06-28,7
35,2018-01-01,2024-06-28,6
36,2019-01-01,2024-06-28,5
37,2020-01-01,2024-06-28,4
38,1992-01-01,2024-06-28,32
39,1993-01-01,2024-06-28,31
40,1994-01-01,2024-06-28,30
41,1996-01-01,2024-06-28,28
42,2021-01-01,2024-06-28,3
43,2022-01-01,2024-06-28,2
44,1960-01-01,2024-06-28,64
45,1965-01-01,2024-06-28,59
46,1980-01-01,2024-06-28,44
47,1981-01-01,2024-06-28,43
48,1982-01-01,2024-06-28,42
49,1983-01-01,2024-06-28,41
50,1984-01-01,2024-06-28,40
51,1985-01-01,2024-06-28,39
52,1986-01-01,2024-06-28,38
53,1987-01-01,2024-06-28,37
54,1988-01-01,2024-06-28,36
55,1989-01-01,2024-06-28,35
56,1990-01-01,2024-06-28,34
57,1991-01-01,2024-06-28,33
58,1992-01-01,2024-06-28,32
59,1993-01-01,2024-06-28,31
60,1994-01-01,2024-06-28,30
61,1995-01-01,2024-06-28,29
62,1996-01-01,2024-06-28,28
63,1997-01-01,2024-06-28,27
64,1998-01-01,2024-06-28,26
65,1999-01-01,2024-06-28,25
66,2000-01-01,2024-06-28,24
67,2001-01-01,2024-06-28,23
68,2002-01-01,2024-06-28,22
69,2003-01-01,2024-06-28,21
70,2004-01-01,2024-06-28,20
71,2005-01-01,2024-06-28,19
72,2006-01-01,2024-06-28,18
73,2007-01-01,2024-06-28,17
74,2008-01-01,2024-06-28,16
75,2009-01-01,2024-06-28,15
76,2010-01-01,2024-06-28,14
77,2011-01-01,2024-06-28,13
78,2012-01-01,2024-06-28,12
79,2013-01-01,2024-06-28,11
80,2014-01-01,2024-06-28,10
81,2015-01-01,2024-06-28,9
82,2016-01-01,2024-06-28,8
83,2017-01-01,2024-06-28,7
84,2018-01-01,2024-06-28,6
85,2019-01-01,2024-06-28,5
86,2020-01-01,2024-06-28,4
87,1970-01-01,2024-06-28,54
88,1971-01-01,2024-06-28,53
